"time","SO4"
2035,3.5008354408048573e-10
2036,6.125644886276316e-10
2037,8.368300698261604e-10
2038,1.048441900654845e-9
2039,1.2390060923714977e-9
2040,1.4522613316416938e-9
2041,1.6375549908028508e-9
2042,1.8068787946933161e-9
2043,1.957286214863022e-9
2044,2.087902194442774e-9
2045,2.1917903539352597e-9
2046,2.297994005762459e-9
2047,2.4193420087339758e-9
2048,2.557564606863367e-9
2049,2.6847833482054037e-9
2050,2.8324509654568917e-9
2051,2.9859895997219385e-9
2052,3.110523260045744e-9
2053,3.225456989535871e-9
2054,3.334076932877956e-9
2055,3.41481529483937e-9
2056,3.4927249098616822e-9
2057,3.5887884464969955e-9
2058,3.6892439630551947e-9
2059,3.792531063242229e-9
2060,3.89333436039456e-9
2061,4.006344283560199e-9
2062,4.116393864570587e-9
2063,4.22522646080752e-9
2064,4.326199578136126e-9
2065,4.432357445649108e-9
2066,4.515280117359477e-9
2067,4.6193810931118004e-9
2068,4.742343507537654e-9
2069,4.842693178847932e-9
2070,4.945849988089096e-9
